county,FIPS,county_seat,population,density_per_SQmile
Alachua,12001,Gainesville,249365,285.31
Baker,12003,Macclenny,27154,46.42
Bay,12005,Panama City,169856,222.32
Bradford,12007,Starke,28255,96.43
Brevard,12009,Titusville,543566,533.95
Broward,12011,Fort Lauderdale,1780172,1472.43
Calhoun,12013,Blountstown,14750,26.01
Charlotte,12015,Punta Gorda,160511,231.28
Citrus,12017,Inverness,140031,239.78
Clay,12019,Green Cove Springs,192370,320.08
Collier,12021,East Naples,328134,161.96
Columbia,12023,Lake City,67485,84.67
DeSoto,12027,Arcadia,34894,54.78
Dixie,12029,Cross City,16486,23.42
Duval,12031,Jacksonville,937934,1124.95
Escambia,12033,Pensacola,299114,450.47
Flagler,12035,Bunnell,97376,200.78
Franklin,12037,Apalachicola,11596,21.72
Gadsden,12039,Quincy,46151,89.44
Gilchrist,12041,Trenton,17004,48.72
Glades,12043,Moore Haven,12635,16.32
Gulf,12045,Port St. Joe,15844,28.04
Hamilton,12047,Jasper,14671,28.49
Hardee,12049,Wauchula,27887,43.78
Hendry,12051,LaBelle,39089,33.90
Hernando,12053,Brooksville,173094,362.12
Highlands,12055,Sebring,98630,95.94
Hillsborough,12057,Tampa,1267775,1206.26
Holmes,12059,Bonifay,19873,41.23
Indian River,12061,Vero Beach,138894,276.13
Jackson,12063,Marianna,49292,53.81
Jefferson,12065,Monticello,14658,24.51
Lafayette,12067,Mayo,8942,16.47
Lake,12069,Tavares,301019,315.86
Lee,12071,Fort Myers,631330,785.24
Leon,12073,Tallahassee,277971,416.75
Levy,12075,Bronson,40156,35.92
Liberty,12077,Bristol,8314,9.94
Madison,12079,Madison,19115,27.62
Manatee,12081,Bradenton,327142,441.49
Marion,12083,Ocala,332529,210.59
Martin,12085,Stuart,147495,265.28
Miami-Dade,12086,Miami,2662874,1313.50
Monroe,12087,Key West,73873,74.10
Nassau,12089,Fernandina Beach,74195,113.80
Okaloosa,12091,Crestview,183482,196.03
Okeechobee,12093,Okeechobee,40140,51.86
Orange,12095,Orlando,1169107,1287.56
Osceola,12097,Kissimmee,276163,208.90
Palm Beach,12099,West Palm Beach,1335187,656.43
Pasco,12101,Dade City,466457,626.12
Pinellas,12103,Clearwater,917398,3276.42
Polk,12105,Bartow,609492,325.06
Putnam,12107,Palatka,74041,102.55
Santa Rosa,12113,Milton,154104,151.68
Sarasota,12115,Sarasota,382213,668.20
Seminole,12117,Sanford,425071,1380.10
St. Johns,12109,St. Augustine,195823,321.55
St. Lucie,12111,Fort Pierce,280379,490.17
Sumter,12119,Bushnell,97756,179.04
Suwannee,12121,Live Oak,41972,61.01
Taylor,12123,Perry,22691,21.78
Union,12125,Lake Butler,15388,64.12
Volusia,12127,DeLand,494804,447.38
Wakulla,12129,Crawfordville,30978,51.03
Walton,12131,DeFuniak Springs,55793,52.73
Washington,12133,Chipley,24935,42.99
